Timestamp,MatCode,Base,Length (m),Print and Dye,Remarks,Stitch and Applique,Remarks,Added expenses,Production cost,Added_to_catalogue,MatMaster,Remarks,
25/07/2023 17:21:58,BT-3-P1,650.0000001,5.5,200,Hand-block-print,,,0,850.0000001,1,,,
25/07/2023 17:33:20,H-5-P1,841.0714813,5.5,200,hand-block-print,,,0,1041.071481,1,,,
,G-3-P1,95.01885715,0.5,,,,,,,,,,
25/07/2023 17:54:27,ArS-9-P1,365.7142857,5.5,,,195,stitching-and-tailoring,0,560.7142857,1,,,
25/07/2023 17:58:12,ArS-4-P1,60,1,,,280,stitching-and-tailoring,0,340,1,,,
25/07/2023 19:10:23,KS-3-P1,339.623797,5.5,0,no-block-print,,,0,339.623797,1,,,
25/07/2023 19:11:01,KS-3-P2,52.48731409,0.85,,,250,stitching-and-tailoring,0,302.4873141,1,KS-3-P1,blouse,
25/07/2023 19:25:06,ArS-8-P1,325.7142857,5.8,,,171.5,stitching-and-tailoring,0,497.2142857,1,,,
25/07/2023 19:33:05,G-2-P1,71.26685715,0.5,,,0,border-stitching,0,71.26685715,,,,
25/07/2023 19:35:05,G-2-P2,142.5337143,1,,,250,stitching-and-tailoring,0,392.5337143,1,,,
25/07/2023 19:36:35,R-1-P1,852.5,5.5,,,299.5,stitching-border,0,1152,1,,,
